Method, Sigma, Score, CL0, CL1
enl-nw, 320, 0.97, 47, 53
enl-wh, 730, 0.69, 49, 51
enl-nw, 730, 0.76, 32, 68
enl-wh, 50, 1.0, 50, 50
enl-nw, 50, 1.0, 50, 50
enl-wh, 830, 0.71, 61, 39
enl-nw, 830, 0.76, 42, 58
enl-wh, 1540, 0.56, 70, 30
enl-nw, 1540, 0.56, 62, 38
enl-wh, 1420, 0.54, 60, 40
enl-nw, 1420, 0.56, 66, 34
enl-wh, 810, 0.74, 62, 38
enl-nw, 810, 0.78, 60, 40
enl-wh, 1580, 0.54, 68, 32
enl-nw, 1580, 0.59, 37, 63
enl-wh, 1390, 0.67, 45, 55
enl-nw, 1390, 0.68, 62, 38
enl-wh, 480, 0.87, 47, 53
enl-nw, 480, 0.9, 54, 46
enl-wh, 920, 0.64, 54, 46
enl-nw, 920, 0.6, 38, 62
enl-wh, 190, 1.0, 50, 50
enl-nw, 190, 1.0, 50, 50
enl-wh, 1590, 0.55, 61, 39
enl-nw, 1590, 0.6, 60, 40
enl-wh, 770, 0.56, 66, 34
enl-nw, 770, 0.6, 66, 34
enl-wh, 1140, 0.57, 67, 33
enl-nw, 1140, 0.59, 61, 39
enl-wh, 1750, 0.56, 22, 78
enl-nw, 1750, 0.56, 26, 74
enl-wh, 80, 1.0, 50, 50
enl-nw, 80, 1.0, 50, 50
enl-wh, 90, 1.0, 50, 50
enl-nw, 90, 1.0, 50, 50
enl-wh, 1170, 0.54, 28, 72
enl-nw, 1170, 0.61, 65, 35
enl-wh, 1980, 0.57, 47, 53
enl-nw, 1980, 0.54, 58, 42
enl-wh, 1160, 0.54, 40, 60
enl-nw, 1160, 0.58, 62, 38
enl-wh, 1290, 0.58, 68, 32
enl-nw, 1290, 0.66, 58, 42
enl-wh, 1040, 0.6, 52, 48
enl-nw, 1040, 0.63, 69, 31
enl-wh, 260, 0.99, 49, 51
enl-nw, 260, 1.0, 50, 50
enl-wh, 1770, 0.63, 29, 71
enl-nw, 1770, 0.62, 62, 38
enl-wh, 1480, 0.59, 55, 45
enl-nw, 1480, 0.63, 59, 41
enl-wh, 410, 0.89, 43, 57
enl-nw, 410, 0.95, 51, 49
enl-wh, 1500, 0.58, 62, 38
enl-nw, 1500, 0.64, 68, 32
enl-wh, 1960, 0.55, 63, 37
enl-nw, 1960, 0.58, 62, 38
enl-wh, 1890, 0.56, 32, 68
enl-nw, 1890, 0.55, 37, 63
